0;Stranger;Bienvenido. ¿Necesitas ayuda para sobrevivir éste clima helado e inhóspito?
4*64;Familiarity;Tu presencia no pasó desapercibida. Mantente pacífico y haremos lo mismo.
8*64;Known Face;Te hemos visto por aquí antes. Siéntete libre de quedarte un rato y calentarte.
16*64;Regular Visitor; Estamos felices de verte, $name.
32*64;Fellow Survivor;Ah, it's good to see that you're still alive and surviving well!
64*64;Favourite Trader;Todos aquí están felices de verte. ¿Haz traído algo emocionante contigo esta vez?
2*64*64;Friend of the Village;Haz probado que eres una agradable compañía. Puedes encontrar muchos amigos aquí, $name.
4*64*64;Blood Brother;Haz hecho mucho por nosotros, y estamos alegres de reponerte por tus acciones. Tienes nuestra confianza.
8*64*64;One of us;Los espíritus nos han bendecido con tu presencia. Ellos han decretado que eres parte de nuestra familia ahora, y siento que ellos tomaron la decisión correcta.
32*64*64;Natural leader;$name, Te haz ganado la confianza y respeto de la gente Inuit. Te seguiremos a donde sea.
-64;Nuisance;Por favor, no tenemos tiempo para gente como tú.
-4*64;Unpleasant Outsider;Estamos enterados de cómo es la gente como tú. Sólo vete y déjanos en paz.
-16*64;Public Enemy;Te hemos otorgado muchas oportunidades para convivir con nosotros, pero haz rechazado nuestros esfuerzos. Vete, y espera que los espíritus no te tomen en la tundra congelada.
